id,zone_type,geometry
418,Bytovaresidentalhigh,"POLYGON ((17.2460385106887 49.5851939347232,17.2460523596623 49.5851241076476,17.2460710809498 49.5850297111082,17.2460869642462 49.5849496217059,17.2459698125538 49.5849370153113,17.2455890850896 49.5849066256151,17.24513640497 49.5848658375778,17.2445532721568 49.584813252164,17.2440407722022 49.5847740846281,17.2440168400408 49.5849422844502,17.2444785460018 49.5849769672319,17.244662057648 49.5849792872943,17.2446862622474 49.5849653149657,17.2447081083919 49.5849667298239,17.2447030247753 49.5849879173066,17.2448681545947 49.585002197383,17.2448574485661 49.5850600798755,17.2451480196477 49.5850836774743,17.2451520163941 49.585069590756,17.2452188345133 49.5850775038935,17.2452099352471 49.5851115943568,17.2460385106887 49.5851939347232))"
419,RDresidentalLow,"POLYGON ((17.2440168400408 49.5849422844502,17.2440040938124 49.5849574773049,17.2439934384978 49.5850414231458,17.2439461884385 49.5853066145113,17.2444167835301 49.5853456976999,17.2444553194318 49.5851229770227,17.2444785460018 49.5849769672319,17.2442704186334 49.5849613329566,17.2441286357409 49.5849506823344,17.2440168400408 49.5849422844502))"
420,Obcanska vybavenosindustrial,"POLYGON ((17.2432070806599 49.5865512381563,17.2444629754092 49.5860348662606,17.2445511485491 49.5861314274426,17.2448379977841 49.5860113344666,17.2449315393795 49.5859528395259,17.245049900155 49.5853962685404,17.2447880948364 49.5853769243752,17.2448044300111 49.5852943030761,17.2444296734374 49.5852712026299,17.2444167835301 49.5853456976999,17.244215042705 49.5853289435799,17.2440482393511 49.5853150899441,17.2439461884385 49.5853066145113,17.2438569053411 49.5853542751896,17.243823730163 49.5853500348259,17.2438200264864 49.5853572493214,17.2437688334131 49.5853650097587,17.2437083969298 49.5853754403803,17.2435444738175 49.5852870242889,17.2426647969752 49.5855759406468,17.2426953766392 49.5859523264431,17.2427080728642 49.585999052749,17.242812579373 49.5861968260179,17.2428989588049 49.5863458713846,17.2429702468954 49.5864638139626,17.2429974643114 49.5864949847424,17.24302762882 49.5865213252089,17.2430570229377 49.5865382907964,17.2431012698282 49.5865519152238,17.2431575298811 49.5865591454866,17.2432070806599 49.5865512381563))"
421,Bytovaresidentalhigh,"POLYGON ((17.2452099352471 49.5851115943568,17.2452146031062 49.5850937118793,17.2452188345133 49.5850775038935,17.2451958504632 49.5850747825361,17.2451520163941 49.585069590756,17.2451480196477 49.5850836774743,17.2450994790519 49.5850797347725,17.2450016896768 49.5850717937831,17.2448574485661 49.5850600798755,17.2448625864765 49.5850323001125,17.2448681545947 49.585002197383,17.244812545475 49.5849973886913,17.2447030247753 49.5849879173066,17.2447081083919 49.5849667298239,17.2446862622474 49.5849653149657,17.244662057648 49.5849792872943,17.2446056084919 49.5849785734962,17.244543815414 49.584977792432,17.2444785460018 49.5849769672319,17.2444694424154 49.5850342005859,17.244461308138 49.5850853312763,17.2444475836728 49.5851676877768,17.2444296734374 49.5852712026299,17.2444612268048 49.5852731479718,17.2446010814268 49.5852817683699,17.244692870631 49.5852874260431,17.2448044300111 49.5852943030761,17.2447963583058 49.5853351251931,17.2447880948364 49.5853769243752,17.2448419158561 49.5853809005828,17.2449465868808 49.5853886344052,17.245049900155 49.5853962685404,17.2451931038561 49.5854066709684,17.2452497398988 49.5851377840419,17.2452099352471 49.5851115943568))"
422,RDresidentalLow,"POLYGON ((17.2438327606087 49.5850276995718,17.243734835264 49.5850205877626,17.2436504718765 49.5850144605673,17.2434351842573 49.5849988251194,17.2432850506719 49.5849879215941,17.2431568908985 49.58505650415,17.2435444738175 49.5852870242889,17.2437083969298 49.5853754403803,17.2437688334131 49.5853650097587,17.2438327606087 49.5850276995718))"
423,Bytovaresidentalhigh,"POLYGON ((17.244953763401 49.585848338613,17.2454222014296 49.5859593683861,17.2464603838242 49.5859998099724,17.246552114644 49.585957931723,17.2466304140101 49.5858692806122,17.2468337319578 49.5852119484076,17.2466879319448 49.5852515215124,17.246314509393 49.5852184087348,17.2460385106887 49.5851939347232,17.2456016854518 49.5851505260567,17.2452099352471 49.5851115943568,17.2452497398988 49.5851377840419,17.2451931038561 49.5854066709684,17.245049900155 49.5853962685404,17.244953763401 49.585848338613))"
424,Obcanska vybavenosresidental,"POLYGON ((17.2449949183644 49.5858989572513,17.2449350340694 49.5859364038626,17.2449315393795 49.5859528395259,17.2449394474696 49.5859489914962,17.2452706413598 49.5861771439328,17.2454792986931 49.5863208995531,17.2455817753637 49.5863913221187,17.2456132292723 49.5864092833947,17.2456221637929 49.5864166979208,17.2456527100751 49.586399739835,17.245652766733 49.5863974484058,17.2456764188055 49.5863966843311,17.2456905439619 49.5864121833683,17.2462380470209 49.5862109395937,17.2467395232547 49.5860700708807,17.2467444265895 49.5860500661578,17.24671963149 49.5859958631449,17.2465310597752 49.5860565755824,17.2456231315215 49.586330116199,17.2449949183644 49.5858989572513))"
425,Bytovaresidentalhigh,"POLYGON ((17.247077776256 49.585038961821,17.247175303479 49.585180117727,17.2471429769009 49.5851895003608,17.2472507472827 49.5852925885256,17.2474216573177 49.585401197767,17.2475978089273 49.5855044081983,17.2478598284905 49.5856232182833,17.2479821938879 49.5856598284032,17.2480094115237 49.5855253134023,17.2480303034599 49.5854032995309,17.248032903437 49.585371909445,17.2484418761034 49.5853811669715,17.2489688456889 49.5854267500196,17.2490202500417 49.5852062963737,17.247077776256 49.585038961821))"
426,Bytovaresidentalhigh,"POLYGON ((17.2484418761034 49.5853811669715,17.2484148966316 49.5855429527173,17.2484476677457 49.585545073912,17.2484045534058 49.5857545873941,17.24861233334 49.5857809466931,17.2488895801267 49.5858003247857,17.2489688456889 49.5854267500196,17.248829489144 49.585414696019,17.2486313330453 49.5853975551658,17.2484418761034 49.5853811669715))"
427,Obcanska vybavenosresidental,"POLYGON ((17.2479821938879 49.5856598284032,17.2481082759588 49.5857009828138,17.2482839471695 49.5857353054223,17.2484045534058 49.5857545873941,17.2484170753725 49.585693736634,17.2484284732461 49.5856383510767,17.2484377740805 49.5855931499373,17.2484476677457 49.585545073912,17.2484148966316 49.5855429527173,17.2480094115237 49.5855253134023,17.247997917952 49.5855821185142,17.2479821938879 49.5856598284032))"
428,Bytovaresidentalhigh,"POLYGON ((17.2494826725622 49.5852156625722,17.2494367264085 49.5854292967396,17.2498214698989 49.5854671053883,17.2498750562006 49.5852467933241,17.2494826725622 49.5852156625722))"
429,Bytovaresidentalhigh,"POLYGON ((17.2494367264085 49.5854292967396,17.2494407524883 49.5854105800582,17.2494573498113 49.5853334071166,17.2494753548622 49.5852496902413,17.2494826725622 49.5852156625722,17.249482341354 49.5852094250273,17.2491512455059 49.585189909649,17.2491114157804 49.5854068089871,17.2494367264085 49.5854292967396))"
430,Obcanska vybavenosCom/res/ind,"POLYGON ((17.2497511280103 49.5857824447452,17.2497590257659 49.5857470429168,17.2497653782569 49.5857185646196,17.2497838460759 49.5856357724636,17.2498023896112 49.585552642388,17.2498214698989 49.5854671053883,17.2497532672121 49.5854604038785,17.2496577244767 49.585451014388,17.2495827111232 49.585443642792,17.249504366119 49.5854359437133,17.2494367264085 49.5854292967396,17.2493911077183 49.5854261437284,17.2492456206118 49.585416085953,17.2491114157804 49.5854068089871,17.249093329003 49.5854496846595,17.2490268707098 49.585806875671,17.2491789280328 49.5858128910188,17.2497511280103 49.5857824447452))"
431,RDresidentalLow,"POLYGON ((17.2508457110699 49.5857293893374,17.2514559408868 49.5857019297483,17.2521512124622 49.5856570165851,17.252201416543 49.5854058821485,17.2508395657156 49.5852890825676,17.2507970438243 49.5852978072881,17.2507693914292 49.5853247074811,17.2503058967757 49.5852861489161,17.2498750562006 49.5852467933241,17.2498564511841 49.5853232893096,17.2498437835409 49.5853753694678,17.2498214698989 49.5854671053883,17.2497511280103 49.5857824447452,17.2503698019815 49.5857478864252,17.2508457110699 49.5857293893374))"
432,RDresidentalLow,"POLYGON ((17.2525854534981 49.5856243301872,17.2526191363943 49.5854421399287,17.252201416543 49.5854058821485,17.2521859199309 49.5854833975082,17.252172463384 49.5855507114908,17.2521512124622 49.5856570165851,17.2525854534981 49.5856243301872))"
433,Obcanska vybavenosempty,"POLYGON ((17.2440181010083 49.5830915601572,17.2437513821698 49.5844412938495,17.2438209659151 49.5845177983696,17.246869929662 49.5847823491236,17.2472486046846 49.5829592348759,17.2467558029234 49.5829212332945,17.2466731086978 49.5829065550811,17.2464177547523 49.5826646070381,17.246221580394 49.5826586000117,17.2460113964787 49.5823311226417,17.2456654647644 49.5824143493812,17.2457400424488 49.5825504348668,17.2457222678415 49.5826160606352,17.2455420188384 49.582662126752,17.245505803502 49.5828445448636,17.2454606894338 49.5830706420654,17.2454338151993 49.5832083946041,17.2449572390576 49.5831690655852,17.2442500002853 49.5831106990374,17.2440771629212 49.5830964344818,17.2440181010083 49.5830915601572))"
434,Bytovaresidentalhigh,"POLYGON ((17.24379491794 49.5833642886268,17.2438126009354 49.5832681979875,17.2438661871474 49.5830048510749,17.243896913698 49.5828763015648,17.2437812353832 49.5829005120872,17.2434209929819 49.5830410249851,17.2433208563749 49.5830756836307,17.2429180055865 49.5832317706785,17.2430303818132 49.5833911069165,17.2431671663815 49.5835207523232,17.243242190544 49.5835020535379,17.2434251716281 49.5835196831748,17.2437599024648 49.5835545541856,17.24379491794 49.5833642886268))"
435,Bytovaresidentalhigh,"POLYGON ((17.2460113964787 49.5823311226417,17.2461283455747 49.5825133352288,17.246221580394 49.5826586000117,17.2464177547523 49.5826646070381,17.246581952145 49.5828201853876,17.2466731086978 49.5829065550811,17.2467558029234 49.5829212332945,17.2470502131411 49.5829439364766,17.2472486046846 49.5829592348759,17.2473776980965 49.5823171175182,17.2474466644021 49.5819988205168,17.2474235497349 49.5820056925708,17.2474056993448 49.5819901914436,17.2473175910964 49.5819892691046,17.2460113964787 49.5823311226417))"
436,RDresidentalLow,"POLYGON ((17.2481878806285 49.5848675655486,17.2487382227969 49.5849189663843,17.2487815332039 49.5846793399855,17.2484546957309 49.5846524478594,17.2484232496473 49.5846704955887,17.2482336134575 49.5846553519708,17.2481878806285 49.5848675655486))"
437,RDresidentalLow,"POLYGON ((17.2488543607488 49.5830122733884,17.2488340402072 49.5833563359417,17.248383833083 49.5834003547062,17.2483514140915 49.5837561623983,17.2483314523296 49.5839585681539,17.2483040656012 49.584324742814,17.2482761772589 49.5844348284618,17.2488212660439 49.5844772820987,17.2488514022965 49.5843669115289,17.2490426286438 49.5843740205506,17.2491929935312 49.5843757048965,17.2492270043282 49.5837726685839,17.249247317343 49.5834526572926,17.2492758967999 49.58302100387,17.2488543607488 49.5830122733884))"
438,RDresidentalLow,"POLYGON ((17.248383833083 49.5834003547062,17.248441814766 49.5833946858284,17.248488299268 49.5833901408617,17.2485888053891 49.5833803142492,17.2488340402072 49.5833563359417,17.2488401187186 49.5832534128534,17.2488448561268 49.5831731978493,17.2488499054469 49.5830877007424,17.2488543607488 49.5830122733884,17.2484203902967 49.5829978179236,17.248383833083 49.5834003547062))"
439,RDresidentalLow,"POLYGON ((17.2491859069236 49.5844849428505,17.2491929935312 49.5843757048965,17.2490426286438 49.5843740205506,17.2489635205504 49.5843710803341,17.2488921656494 49.5843684274416,17.2488514022965 49.5843669115289,17.2488367942427 49.5844204119541,17.2488212660439 49.5844772820987,17.2487815332039 49.5846793399855,17.2487624897785 49.5847846983446,17.2487382227969 49.5849189663843,17.2491502259928 49.5849485568574,17.2491707535814 49.5847280170332,17.2491859069236 49.5844849428505))"
440,RDresidentalLow,"POLYGON ((17.2482336134575 49.5846553519708,17.248289066709 49.584659780624,17.2483392983293 49.5846637916735,17.2484232496473 49.5846704955887,17.2484546957309 49.5846524478594,17.2485778118286 49.5846625780086,17.2486887419076 49.5846717052738,17.2487815332039 49.5846793399855,17.2487877849513 49.5846475478462,17.2487925160436 49.58462348747,17.2487958600737 49.5846064833746,17.2488035245382 49.5845675013163,17.2488123072193 49.5845228382624,17.2488212660439 49.5844772820987,17.2487276205256 49.5844699887735,17.2486446908112 49.5844635297001,17.2485563122898 49.5844566466207,17.2484680212534 49.5844497698698,17.2483688547923 49.5844420465088,17.2482761772589 49.5844348284618,17.2482336134575 49.5846553519708))"
441,RDresidentalLow,"POLYGON ((17.2470971195342 49.5847967205681,17.2472272963036 49.5848111247507,17.2472301964009 49.5847921862348,17.2477234049457 49.5848372630736,17.2480292663957 49.5848570614812,17.2480595594954 49.5846952510043,17.2478632980003 49.5846801563602,17.2478758296626 49.5846343464396,17.2473618703282 49.5845927085531,17.2473511602957 49.5846386359571,17.2472639527433 49.5846317948111,17.2472697696069 49.5846178264869,17.2471337695013 49.5846054362806,17.2471138391164 49.5847094550125,17.2470971195342 49.5847967205681))"
442,RDresidentalLow,"POLYGON ((17.2480595594954 49.5846952510043,17.2480894161937 49.5845603095538,17.2481157144442 49.5844125849428,17.2481349204591 49.5842751607004,17.2481463204037 49.5842007076206,17.2481629150361 49.5839722624288,17.2481736999729 49.5838472037219,17.2479430029781 49.5838408773382,17.2477489035391 49.5838405062118,17.2477353369729 49.5839723189912,17.2477318437755 49.5840017383592,17.2472503386056 49.5840243615391,17.2472175228143 49.5842026246514,17.247172511189 49.5844124947987,17.2471337695013 49.5846054362806,17.2472697696069 49.5846178264869,17.2472639527433 49.5846317948111,17.2473511602957 49.5846386359571,17.2473618703282 49.5845927085531,17.2474853135437 49.5846027093673,17.2475887678346 49.5846110905368,17.2476868225067 49.5846190340765,17.2477704920822 49.5846258132065,17.2478758296626 49.5846343464396,17.2478685930582 49.5846607997647,17.2478632980003 49.5846801563602,17.2479615134526 49.5846877106239,17.2480015116481 49.5846907862987,17.2480595594954 49.5846952510043))"
443,RDresidentalLow,"POLYGON ((17.2481736999729 49.5838472037219,17.248176971183 49.5837540920844,17.2481865223435 49.5836629022509,17.2477703575658 49.5836574809111,17.2477535899949 49.5837381616901,17.2477489035391 49.5838405062118,17.2479430029781 49.5838408773382,17.2480618148318 49.583844135211,17.2481295779241 49.5838459939148,17.2481736999729 49.5838472037219))"
444,RDresidentalLow,"POLYGON ((17.2481865223435 49.5836629022509,17.2482436636278 49.5831124739595,17.2478618286983 49.5831009685313,17.247834055553 49.5832222984032,17.2474190348485 49.5831858405646,17.2472503386056 49.5840243615391,17.2474418359626 49.584015364555,17.2475839122837 49.584008689388,17.2477318437755 49.5840017383592,17.2477383172672 49.5839433602779,17.2477443725236 49.5838845225402,17.2477489035391 49.5838405062118,17.247750897077 49.5837969727827,17.2477535899949 49.5837381616901,17.247759470469 49.5837098689884,17.2477703575658 49.5836574809111,17.2478715676061 49.5836587996406,17.2480017925076 49.583660496334,17.2480776481206 49.5836614844472,17.2481865223435 49.5836629022509))"
445,RDresidentalLow,"POLYGON ((17.2482436636278 49.5831124739595,17.2482586159932 49.5829951587855,17.2478812300982 49.5829862702013,17.2474674335814 49.5829750228811,17.2474190348485 49.5831858405646,17.2475764417342 49.5831996685589,17.2477000356447 49.5832105252986,17.247834055553 49.5832222984032,17.2478445856706 49.5831762952736,17.2478580368327 49.5831175360118,17.2478618286983 49.5831009685313,17.2479383818906 49.5831032754552,17.2480742069186 49.5831073685719,17.2481659410665 49.5831101323892,17.2482436636278 49.5831124739595))"
446,BytovaCom/res/indhigh,"POLYGON ((17.2489999744193 49.5828897930976,17.2490038347496 49.5828138888288,17.249007161109 49.5827484867448,17.2490160675512 49.5825733335296,17.2483936101847 49.582553604821,17.2483705479246 49.5825568345437,17.2483340005286 49.5828915742817,17.2486394637218 49.5828778747898,17.2489999744193 49.5828897930976))"
447,Bytovaresidentalhigh,"POLYGON ((17.2483340005286 49.5828915742817,17.2483389184794 49.5828465374731,17.2483430660719 49.5828085494535,17.2483625197132 49.5826303702351,17.2483705479246 49.5825568345437,17.2475580699234 49.5825317345865,17.2474883860723 49.5828667201871,17.2483340005286 49.5828915742817))"
448,RDresidentalLow,"POLYGON ((17.2493718915536 49.5822363414687,17.2493215444039 49.5822350003815,17.2492120559004 49.5822330936406,17.2491644389654 49.5822321833772,17.2489838367486 49.5822337631124,17.2489824929665 49.5822665501544,17.2490117123935 49.5822678442429,17.24900238787 49.5823407583902,17.2489583334349 49.5823402978419,17.2489555231247 49.5823586445421,17.2484815058083 49.5823469901055,17.2484595615325 49.5823606314497,17.248456244348 49.5824615487698,17.2483998830719 49.5824622033931,17.2483936101847 49.582553604821,17.2490160675512 49.5825733335296,17.2489999744193 49.5828897930976,17.2492900867844 49.582897094154,17.2493323162793 49.5828902638793,17.2493680302325 49.5823111285,17.2493718915536 49.5822363414687))"
449,Obcanska vybavenoscommercial,"POLYGON ((17.2493215444039 49.5822350003815,17.249067344954 49.5817763852153,17.2490179937588 49.5817504786837,17.248634587161 49.5817089262461,17.2476853921242 49.5819284042482,17.2475580699234 49.5825317345865,17.2477924054592 49.5825389742503,17.2480772202696 49.5825477729217,17.2482834212697 49.5825541432748,17.2483705479246 49.5825568345437,17.2483936101847 49.582553604821,17.2483957270249 49.5825227575527,17.2483973181743 49.5824995858249,17.2483998830719 49.5824622033931,17.2484333253788 49.5824618152015,17.248456244348 49.5824615487698,17.2484577218691 49.5824165860168,17.2484586284702 49.582388998059,17.2484595615325 49.5823606314497,17.2484815058083 49.5823469901055,17.2485665360568 49.58234908057,17.2487582516789 49.5823537939254,17.2488569227097 49.5823562199388,17.2489555231247 49.5823586445421,17.2489583334349 49.5823402978419,17.24900238787 49.5823407583902,17.2490117123935 49.5822678442429,17.2489824929665 49.5822665501544,17.2489838367486 49.5822337631124,17.2490799811435 49.5822334808393,17.2491644389654 49.5822321833772,17.2492453903753 49.5822336734591,17.2493106982705 49.5822348109534,17.2493215444039 49.5822350003815))"
450,RDresidentalLow,"POLYGON ((17.2496832622923 49.5850052526394,17.2500883838766 49.5850394580033,17.2501836201003 49.5845614803577,17.2503320491086 49.5836759646566,17.2503761785061 49.5833996925249,17.2501761085545 49.5833975039278,17.2501740296358 49.5832909782767,17.2504308992627 49.5832944512573,17.2504424190361 49.5831111040809,17.2505392698714 49.583114980914,17.2505463274706 49.5830568629595,17.2495341336079 49.5830272211619,17.2495075697842 49.5833088142623,17.2494738804016 49.5838651283691,17.2494496050492 49.5843479372894,17.2494312175731 49.5846601828462,17.2494183926211 49.584839636665,17.2497173682401 49.5848435798583,17.2496832622923 49.5850052526394))"
451,BytovaCom/res/indhigh,"POLYGON ((17.2496832622923 49.5850052526394,17.2496912090749 49.5849675793176,17.2496983642387 49.5849336618432,17.2497089703883 49.5848833876622,17.2497173682401 49.5848435798583,17.2496883413731 49.5848431970687,17.2496093917859 49.5848421559202,17.2494888373232 49.5848396018974,17.2494183926211 49.584839636665,17.2494084065121 49.5849773028607,17.2496832622923 49.5850052526394))"
452,Bytovaresidentalhigh,"POLYGON ((17.2500883838766 49.5850394580033,17.2515254608398 49.5851649307282,17.2515794349698 49.5848891763374,17.2517754740902 49.5848961215119,17.251460948661 49.5845112936117,17.2514575012088 49.5845013879574,17.2514629059412 49.5844985093662,17.2514538304008 49.5844857293357,17.2514469602846 49.5844885150017,17.2513933324325 49.5844341184341,17.2512260417888 49.5841793122612,17.2508849297653 49.583710432414,17.250858639893 49.5835578713295,17.2507772545035 49.5834021613493,17.2505627364811 49.5834010128663,17.2503761785061 49.5833996925249,17.2503418250197 49.5836147631585,17.250300560623 49.5838638212082,17.2502655897177 49.584072462816,17.2502294350344 49.5842881594496,17.2501966182068 49.5844839383043,17.2501566814568 49.5846966867729,17.2501166122058 49.5848977819364,17.2500988265342 49.5849870522615,17.2500883838766 49.5850394580033))"
453,RDresidentalLow,"POLYGON ((17.2505463274706 49.5830568629595,17.2505443045537 49.583073516664,17.2505420550075 49.583092040507,17.2505392698714 49.583114980914,17.2505059776268 49.5831136485946,17.2504424190361 49.5831111040809,17.2504382609676 49.583177272642,17.2504366510207 49.5832029015204,17.250433878297 49.583247039395,17.2504308992627 49.5832944512573,17.2503003538873 49.5832926870746,17.2501740296358 49.5832909782767,17.2501749214134 49.5833366713076,17.2501761085545 49.5833975039278,17.2503761785061 49.5833996925249,17.2505084709253 49.5834006292075,17.2507772545035 49.5834021613493,17.250767231505 49.5832974185013,17.2508138135696 49.5830651769962,17.2505463274706 49.5830568629595))"
454,Bytovacommercialhigh,"POLYGON ((17.2508461078823 49.5835338957557,17.250858639893 49.5835578713295,17.2508658665645 49.5835998094953,17.2512181463999 49.5836235342243,17.2513048496077 49.5835904129384,17.2513238272861 49.5835529098428,17.2512833843835 49.5835144310916,17.2512523536226 49.5835009475236,17.2512695784681 49.583408326169,17.2512913004605 49.5834018852611,17.251335721739 49.5833887136403,17.2513575835053 49.5831161408097,17.2513180212738 49.5830863258831,17.2512736655472 49.5830734146862,17.2509306761843 49.5830512212806,17.2508915807363 49.5830616020766,17.2508747757972 49.5830849007337,17.2508797161894 49.5832688353789,17.2508461078823 49.5835338957557))"
455,RDresidentalLow,"POLYGON ((17.2517754740902 49.5848961215119,17.2517471727052 49.5848951188009,17.2517016502124 49.5848935067114,17.2515794349698 49.5848891763374,17.2515718046434 49.5849281615233,17.2515636781047 49.5849696823873,17.2515540482453 49.5850188816397,17.251540728463 49.5850869287443,17.2515254608398 49.5851649307282,17.252046959815 49.5852046464986,17.2517754740902 49.5848961215119))"
456,Bytovaresidentalhigh,"POLYGON ((17.2507465229017 49.5829574597467,17.2508297569412 49.5829614114463,17.250935946236 49.582988364906,17.2512935758243 49.5830158094089,17.2513617240748 49.5830030045509,17.2513815818295 49.582974165266,17.2514329209636 49.58268198271,17.2514071599691 49.5822592943625,17.2513898785687 49.5822280518044,17.2513199491734 49.5821948373191,17.251249596243 49.5821788094253,17.2506839904261 49.5821264303341,17.2507044790416 49.5820646389468,17.2505552849715 49.5820736325384,17.2505842876124 49.5822076761506,17.2506450087666 49.5822946123577,17.2507692218171 49.5824776577664,17.250753160879 49.582817147177,17.2507465229017 49.5829574597467))"
457,RDresidentalLow,"POLYGON ((17.2507646443693 49.5825744166465,17.2497346117884 49.5825861184996,17.2495767389043 49.5825797267488,17.2495452286647 49.5829200525109,17.2502239095463 49.582944848071,17.2505932492273 49.5829534465463,17.2507465229017 49.5829574597467,17.2507522644533 49.5828361196778,17.2507563944087 49.5827488169027,17.2507620222433 49.5826298467377,17.2507646443693 49.5825744166465))"
458,RDresidentalLow,"POLYGON ((17.2495767389043 49.5825797267488,17.2496700019263 49.5825835031512,17.2497346117884 49.5825861184996,17.2499305653741 49.5825838935973,17.2501969542022 49.5825808677873,17.2505039934875 49.5825755833572,17.2507646443693 49.5825744166465,17.250766934403 49.582526020539,17.2507692218171 49.5824776577664,17.2507239633468 49.5824109636121,17.2506756148139 49.5823397147094,17.2506450087666 49.5822946123577,17.2505842876124 49.5822076761506,17.2496315276582 49.5822847090426,17.2496284895512 49.5824193426551,17.2495802691544 49.5824221613631,17.2495767389043 49.5825797267488))"
459,RDresidentalLow,"POLYGON ((17.2496315276582 49.5822847090426,17.2497214057039 49.5822774423063,17.2498947079038 49.5822634308564,17.2500532042697 49.5822506165924,17.2502419557463 49.5822353559777,17.2505842876124 49.5822076761506,17.2505711659564 49.582147034318,17.2505552849715 49.5820736325384,17.2505449667627 49.582038943937,17.2496083261582 49.582142816906,17.2496315276582 49.5822847090426))"
460,RDresidentalLow,"POLYGON ((17.2496083261582 49.582142816906,17.2496864321295 49.5821341553705,17.2498298931436 49.5821182459755,17.2499800027071 49.5821015989773,17.2499618404456 49.5819713124364,17.2498485036916 49.5819766588985,17.2498274532175 49.5818643625433,17.2498121771293 49.5817542478149,17.2499116475164 49.5817461052967,17.2498587381329 49.581621567246,17.2496962300113 49.5816454782326,17.2497064444918 49.5816748290153,17.2495022860637 49.5817017815441,17.2495343808399 49.5817803646193,17.2495741475083 49.5820009807938,17.2496083261582 49.582142816906))"
461,RDresidentalLow,"POLYGON ((17.2498587381329 49.581621567246,17.2498795119628 49.5816709793042,17.2499116475164 49.5817461052967,17.2499485532556 49.5817422183051,17.2504308491176 49.5817025024273,17.2504467743495 49.5817339667179,17.2506488662706 49.5816982242387,17.2505138564163 49.5813557779389,17.250317460546 49.581389688493,17.2498008920683 49.5814734086352,17.2498587381329 49.581621567246))"
462,RDresidentalLow,"POLYGON ((17.2509694163273 49.5815554842423,17.2509952254603 49.5816523202779,17.2509660745332 49.5816556941831,17.2509704840164 49.5816734326756,17.2507920809138 49.5816945824158,17.2506535124802 49.5816974483664,17.2506488662706 49.5816982242387,17.2505960112781 49.5817071958143,17.2505096678683 49.5817226985041,17.2504457907021 49.5817331861258,17.2504685450655 49.58179348316,17.2504850674904 49.5818372627804,17.2504996087076 49.5818717819757,17.2505122137328 49.5818988912076,17.2505219996473 49.5819199390323,17.2505302268465 49.5819641795798,17.2508433235696 49.5819286827163,17.2509644810116 49.5819154835952,17.2509910014202 49.5820143019573,17.251062063465 49.5820097023191,17.2513817881711 49.5819890107637,17.2513451484972 49.5818728376995,17.2513136316757 49.5817520229457,17.2512505634286 49.581520240892,17.2511726952288 49.5815292919816,17.2509694163273 49.5815554842423))"
463,RDresidentalLow,"POLYGON ((17.2505552849715 49.5820736325384,17.2507044790416 49.5820646389468,17.2507560909248 49.5820578693943,17.2508123183999 49.5820268409848,17.2509919836997 49.5820150825714,17.2509822443046 49.5819787877882,17.2509720091204 49.5819406486154,17.2509654646709 49.5819162641826,17.2508443072272 49.5819294633048,17.2507504112945 49.5819401087517,17.2506684993834 49.5819493955972,17.2505981723328 49.5819573685153,17.2505312091176 49.5819649601979,17.2505395737297 49.5820027156937,17.2505449667627 49.582038943937,17.2505500652895 49.582056084312,17.2505552849715 49.5820736325384))"
464,Obcanska vybavenospoint_education,"POLYGON ((17.2515473918416 49.5830108958629,17.2527861012667 49.5831053805634,17.2528166746672 49.5830930132827,17.2528291087408 49.5830694315267,17.2528308368984 49.5830437229419,17.252786909917 49.5824513075902,17.2515897999587 49.582459927489,17.2516038945738 49.5826128949201,17.2515907757189 49.5827935089614,17.2515473918416 49.5830108958629))"
465,Bytovaresidentalhigh,"POLYGON ((17.2527788532778 49.5823937257903,17.2527282282079 49.5817057236029,17.2520918331096 49.581731493796,17.2521339720167 49.5823787826737,17.2527788532778 49.5823937257903))"
466,RDresidentalLow,"POLYGON ((17.2526664901111 49.5816212236436,17.2526214331283 49.5812027757852,17.2522459360377 49.5812200821227,17.2522825094268 49.5813415106634,17.2520308700684 49.5813567889495,17.2520115232492 49.5814832067346,17.2519180314484 49.5814886330985,17.2519385293982 49.5815991658861,17.2520002763913 49.5815993357562,17.2519851842185 49.581629942722,17.2519746853487 49.5816512341704,17.2522033750991 49.5816413136213,17.2524140427875 49.5816321753132,17.2525379212319 49.5816268018854,17.2526664901111 49.5816212236436))"
467,Obcanska vybavenosresidental,"POLYGON ((17.252221298192 49.5812801716138,17.2522144728552 49.5812094400136,17.2513309141921 49.5812885482839,17.2513473465841 49.5813541632635,17.252221298192 49.5812801716138))"
468,Bytovaresidentalhigh,"POLYGON ((17.2514004930346 49.5816631118863,17.2514568042168 49.5816570017124,17.2514651951468 49.5816886727701,17.2515111526111 49.581683900244,17.2515038563769 49.5816517257089,17.2515559267315 49.5816454299479,17.251642601905 49.5816349495723,17.2517853813766 49.5816176845401,17.2519385293982 49.5815991658861,17.2519180314484 49.5814886330985,17.2518998272082 49.5813913451638,17.2514105458408 49.5814457565612,17.2513502791881 49.5814791533096,17.2514004930346 49.5816631118863))"
469,RDresidentalLow,"POLYGON ((17.251416838807 49.5841664343336,17.251745994448 49.5841781681023,17.2518106674884 49.5839958687198,17.2518543619974 49.583998695694,17.2519295769282 49.5837955618578,17.2522733669778 49.5839038724702,17.2528157095361 49.5832193242024,17.2514892454292 49.5831167719836,17.251416838807 49.5841664343336))"
