Id, Road Name, Road Type, One Way, Lanes, Bridge, Geometry
95203566,,residential,,2,,"LINESTRING (20.2835693359375 49.042457580566406, 20.284273147583008 49.04241943359375, 20.285848617553711 49.042396545410156)"
95203567,,track,,,,"LINESTRING (20.280416488647461 49.026046752929688, 20.280181884765625 49.025962829589844, 20.280036926269531 49.025886535644531, 20.279865264892578 49.025833129882812, 20.279556274414062 49.025684356689453, 20.279460906982422 49.025596618652344, 20.279411315917969 49.025493621826172, 20.279319763183594 49.025146484375, 20.279245376586914 49.025104522705078, 20.279108047485352 49.025074005126953, 20.278955459594727 49.025066375732422, 20.278823852539062 49.0250358581543, 20.278667449951172 49.025005340576172, 20.278635025024414 49.024997711181641, 20.278404235839844 49.024967193603516, 20.278083801269531 49.024944305419922, 20.277795791625977 49.024940490722656, 20.277469635009766 49.024959564208984, 20.277202606201172 49.024997711181641, 20.2771053314209 49.025032043457031, 20.276998519897461 49.025077819824219, 20.276912689208984 49.025131225585938, 20.27679443359375 49.025264739990234, 20.276723861694336 49.0254020690918, 20.276683807373047 49.025547027587891, 20.276636123657227 49.025714874267578, 20.276569366455078 49.025852203369141, 20.276350021362305 49.026031494140625, 20.276079177856445 49.026168823242188, 20.275854110717773 49.0262451171875, 20.275333404541016 49.026359558105469, 20.274795532226562 49.026462554931641, 20.274387359619141 49.026523590087891, 20.273983001708984 49.026573181152344, 20.273643493652344 49.026603698730469, 20.273324966430664 49.026664733886719)"
97173003,,residential,,,,"LINESTRING (20.179939270019531 49.0762939453125, 20.179813385009766 49.076168060302734, 20.179719924926758 49.076065063476562, 20.179443359375 49.075889587402344)"
97173004,Lúčna,residential,,,,"LINESTRING (20.182994842529297 49.070369720458984, 20.182197570800781 49.071117401123047, 20.181924819946289 49.071369171142578, 20.180652618408203 49.072116851806641)"
97173005,Partizánska,residential,,,,"LINESTRING (20.186990737915039 49.071891784667969, 20.185209274291992 49.071212768554688, 20.184051513671875 49.070785522460938, 20.182994842529297 49.070369720458984)"
97173006,Nálepkova,residential,,,,"LINESTRING (20.176055908203125 49.076812744140625, 20.177576065063477 49.077018737792969)"
97173009,,service,,,,"LINESTRING (20.185630798339844 49.076068878173828, 20.185953140258789 49.075885772705078, 20.186201095581055 49.075710296630859, 20.187454223632812 49.075416564941406)"
97173010,Štúrova,residential,,,,"LINESTRING (20.177186965942383 49.078227996826172, 20.177164077758789 49.0781135559082, 20.177509307861328 49.077926635742188, 20.177789688110352 49.077705383300781, 20.178163528442383 49.077430725097656, 20.178611755371094 49.076999664306641, 20.178945541381836 49.076751708984375, 20.179254531860352 49.076576232910156, 20.179939270019531 49.0762939453125, 20.180274963378906 49.076141357421875, 20.180854797363281 49.075954437255859, 20.181337356567383 49.075786590576172, 20.1820068359375 49.075660705566406, 20.182592391967773 49.075569152832031, 20.183305740356445 49.075382232666016, 20.183725357055664 49.075267791748047, 20.1841983795166 49.075092315673828, 20.184730529785156 49.074909210205078, 20.184839248657227 49.074851989746094, 20.185327529907227 49.0745849609375, 20.185764312744141 49.074386596679688, 20.185855865478516 49.074348449707031, 20.18604850769043 49.074310302734375, 20.186586380004883 49.074150085449219, 20.187002182006836 49.074001312255859, 20.187417984008789 49.0738525390625)"
97173011,Hviezdoslavova,residential,,,,"LINESTRING (20.188573837280273 49.074138641357422, 20.189233779907227 49.074348449707031, 20.189584732055664 49.074455261230469, 20.189981460571289 49.074516296386719, 20.190483093261719 49.074542999267578, 20.191102981567383 49.074531555175781, 20.192075729370117 49.0744743347168, 20.193239212036133 49.074424743652344)"
97173012,Osloboditeľov,residential,,,yes,"LINESTRING (20.185876846313477 49.074150085449219, 20.185819625854492 49.074272155761719)"
97173015,Poľná,residential,,,,"LINESTRING (20.179418563842773 49.074909210205078, 20.179317474365234 49.074985504150391, 20.1790771484375 49.075153350830078, 20.178672790527344 49.075229644775391, 20.177955627441406 49.075443267822266, 20.177568435668945 49.07562255859375, 20.177030563354492 49.075958251953125, 20.176458358764648 49.0764274597168, 20.176055908203125 49.076812744140625, 20.175458908081055 49.077255249023438, 20.17497444152832 49.07763671875, 20.174602508544922 49.0778923034668)"
97173040,Nálepkova,residential,,,,"LINESTRING (20.184358596801758 49.074039459228516, 20.183586120605469 49.074497222900391, 20.183101654052734 49.074703216552734, 20.182449340820312 49.074859619140625, 20.181907653808594 49.074947357177734, 20.181047439575195 49.075199127197266, 20.180276870727539 49.075439453125, 20.179569244384766 49.0756721496582, 20.179010391235352 49.075912475585938, 20.178712844848633 49.076156616210938, 20.178152084350586 49.076534271240234, 20.177742004394531 49.076877593994141, 20.177576065063477 49.077018737792969, 20.176704406738281 49.077396392822266, 20.175716400146484 49.077693939208984)"
97173043,Sládkovičova,residential,,,,"LINESTRING (20.184051513671875 49.070785522460938, 20.183015823364258 49.071758270263672, 20.181425094604492 49.07269287109375)"
97173044,Cintorínska,residential,,,,"LINESTRING (20.179418563842773 49.074909210205078, 20.178859710693359 49.07464599609375, 20.178386688232422 49.074459075927734, 20.177902221679688 49.074184417724609, 20.177677154541016 49.073955535888672, 20.177436828613281 49.073535919189453, 20.177083969116211 49.073348999023438, 20.176881790161133 49.073265075683594, 20.176830291748047 49.072360992431641)"
97173045,Školská,residential,,,,"LINESTRING (20.180992126464844 49.077522277832031, 20.180274963378906 49.076141357421875, 20.180265426635742 49.075847625732422)"
97173046,Krátka,residential,,,,"LINESTRING (20.181924819946289 49.071369171142578, 20.183015823364258 49.071758270263672)"
97173047,Osloboditeľov,residential,,,,"LINESTRING (20.185819625854492 49.074272155761719, 20.185855865478516 49.074348449707031)"
97173063,,residential,,,,"LINESTRING (20.180036544799805 49.0777702331543, 20.180263519287109 49.078182220458984)"
97809959,,service,,,,"LINESTRING (20.22705078125 49.139305114746094, 20.227142333984375 49.139316558837891, 20.2273006439209 49.139324188232422, 20.227317810058594 49.139328002929688, 20.228776931762695 49.139297485351562)"
97809960,,service,,,,"LINESTRING (20.230167388916016 49.139705657958984, 20.2294921875 49.139682769775391, 20.229265213012695 49.139617919921875, 20.229043960571289 49.139553070068359)"
97809961,,service,yes,,,"LINESTRING (20.227630615234375 49.139453887939453, 20.228973388671875 49.139434814453125, 20.2290096282959 49.139434814453125, 20.229038238525391 49.139442443847656, 20.229059219360352 49.139453887939453, 20.229076385498047 49.139469146728516, 20.229085922241211 49.139488220214844, 20.229087829589844 49.139499664306641, 20.229087829589844 49.139507293701172, 20.22907829284668 49.1395263671875, 20.229072570800781 49.139533996582031, 20.229063034057617 49.139541625976562, 20.229043960571289 49.139553070068359)"
97810756,,residential,,,,"LINESTRING (20.212181091308594 49.134593963623047, 20.212257385253906 49.134563446044922, 20.212459564208984 49.134468078613281, 20.212574005126953 49.134422302246094, 20.212648391723633 49.134414672851562, 20.212699890136719 49.134334564208984, 20.212743759155273 49.13421630859375, 20.212776184082031 49.134037017822266, 20.212783813476562 49.133998870849609, 20.21282958984375 49.133892059326172)"
97810757,,service,,,,"LINESTRING (20.21282958984375 49.133892059326172, 20.212894439697266 49.133834838867188, 20.21296501159668 49.133632659912109, 20.21296501159668 49.1335563659668, 20.212472915649414 49.133335113525391)"
97810758,,residential,,,,"LINESTRING (20.212648391723633 49.134414672851562, 20.213346481323242 49.1346321105957, 20.213449478149414 49.134670257568359)"
97810759,,residential,,,,"LINESTRING (20.209783554077148 49.133594512939453, 20.209823608398438 49.133651733398438, 20.210071563720703 49.133846282958984, 20.21014404296875 49.133892059326172, 20.210716247558594 49.134117126464844, 20.210866928100586 49.134189605712891, 20.210882186889648 49.134197235107422, 20.211647033691406 49.134666442871094, 20.211719512939453 49.134689331054688, 20.2117919921875 49.134689331054688, 20.211847305297852 49.134677886962891, 20.211997985839844 49.134651184082031, 20.212181091308594 49.134593963623047)"
97810760,,residential,,,,"LINESTRING (20.210220336914062 49.132003784179688, 20.209768295288086 49.132755279541016, 20.209405899047852 49.133399963378906, 20.209375381469727 49.133468627929688, 20.209375381469727 49.133495330810547)"
99012256,,service,,,,"LINESTRING (20.294271469116211 49.049137115478516, 20.294055938720703 49.049243927001953, 20.293977737426758 49.049365997314453, 20.294137954711914 49.049930572509766, 20.294160842895508 49.050010681152344, 20.293802261352539 49.0500602722168)"
99411627,,path,,,,"LINESTRING (20.280830383300781 49.047565460205078, 20.280763626098633 49.047580718994141)"
100525710,Potočná,residential,,,yes,"LINESTRING (20.261604309082031 49.125205993652344, 20.261751174926758 49.125274658203125)"
100525711,,residential,,,,"LINESTRING (20.261306762695312 49.124561309814453, 20.261768341064453 49.124858856201172)"
100525715,Potočná,residential,,,,"LINESTRING (20.261751174926758 49.125274658203125, 20.26214599609375 49.125480651855469)"
100531800,,footway,,,,"LINESTRING (20.221607208251953 49.1401481628418, 20.221494674682617 49.140209197998047, 20.221437454223633 49.140243530273438, 20.221418380737305 49.140266418457031, 20.221406936645508 49.140293121337891, 20.221424102783203 49.140323638916016, 20.221481323242188 49.140365600585938, 20.2215518951416 49.140403747558594, 20.221639633178711 49.140438079833984, 20.22174072265625 49.140468597412109, 20.221769332885742 49.140472412109375, 20.221885681152344 49.140487670898438, 20.222009658813477 49.1404914855957, 20.222080230712891 49.140476226806641, 20.222141265869141 49.140453338623047, 20.222169876098633 49.140422821044922, 20.222179412841797 49.140380859375, 20.222171783447266 49.140331268310547, 20.222146987915039 49.140285491943359, 20.222114562988281 49.140228271484375, 20.222091674804688 49.14019775390625, 20.222061157226562 49.140167236328125, 20.222019195556641 49.14013671875, 20.221969604492188 49.140110015869141, 20.221935272216797 49.140094757080078, 20.221845626831055 49.140098571777344, 20.221715927124023 49.140113830566406, 20.221639633178711 49.140132904052734, 20.221607208251953 49.1401481628418)"
100531803,,footway,,,,"LINESTRING (20.22252082824707 49.140163421630859, 20.222465515136719 49.140186309814453, 20.222146987915039 49.140285491943359, 20.222070693969727 49.140308380126953, 20.221982955932617 49.140327453613281, 20.2219181060791 49.140331268310547, 20.22184944152832 49.140323638916016, 20.221792221069336 49.140316009521484, 20.221746444702148 49.140300750732422, 20.221704483032227 49.140277862548828, 20.221670150756836 49.140251159667969, 20.221645355224609 49.140216827392578, 20.221626281738281 49.140182495117188, 20.221607208251953 49.1401481628418, 20.221534729003906 49.139965057373047)"
100531804,,footway,,,,"LINESTRING (20.220039367675781 49.13916015625, 20.220100402832031 49.139190673828125, 20.220136642456055 49.139240264892578, 20.220151901245117 49.139301300048828, 20.220123291015625 49.139385223388672, 20.22007942199707 49.139446258544922, 20.220005035400391 49.139492034912109, 20.219907760620117 49.139522552490234)"
100531806,,footway,,,,"LINESTRING (20.222141265869141 49.140453338623047, 20.22218132019043 49.140560150146484, 20.222282409667969 49.140659332275391, 20.222328186035156 49.140712738037109, 20.222379684448242 49.140777587890625, 20.222457885742188 49.140960693359375, 20.222503662109375 49.141029357910156)"
100531807,,footway,,,,"LINESTRING (20.222021102905273 49.139923095703125, 20.221986770629883 49.139991760253906, 20.22197151184082 49.140022277832031)"
100531808,,footway,,,,"LINESTRING (20.219978332519531 49.139553070068359, 20.219682693481445 49.139743804931641)"
102677016,,motorway,yes,2,,"LINESTRING (20.19654655456543 49.064693450927734, 20.196723937988281 49.064670562744141, 20.197654724121094 49.064529418945312, 20.198539733886719 49.064380645751953, 20.201793670654297 49.063716888427734, 20.20344352722168 49.063396453857422, 20.204254150390625 49.063262939453125, 20.205080032348633 49.063125610351562, 20.205974578857422 49.063003540039062, 20.206821441650391 49.062908172607422, 20.20768928527832 49.062820434570312, 20.2081356048584 49.062782287597656, 20.208587646484375 49.062751770019531, 20.209287643432617 49.062717437744141, 20.210010528564453 49.062686920166016, 20.210731506347656 49.062675476074219, 20.211481094360352 49.062679290771484, 20.212072372436523 49.06268310546875, 20.212686538696289 49.062698364257812, 20.213308334350586 49.062725067138672, 20.213905334472656 49.062759399414062, 20.215118408203125 49.062858581542969, 20.216339111328125 49.062965393066406, 20.219203948974609 49.063251495361328, 20.222076416015625 49.063533782958984, 20.228601455688477 49.064178466796875, 20.231836318969727 49.064495086669922, 20.233440399169922 49.064647674560547, 20.234951019287109 49.064785003662109, 20.235370635986328 49.064815521240234, 20.235876083374023 49.064849853515625, 20.236612319946289 49.064884185791016, 20.237398147583008 49.064918518066406, 20.238100051879883 49.064960479736328, 20.239109039306641 49.064990997314453, 20.239431381225586 49.06500244140625)"
102677018,,motorway,yes,2,yes,"LINESTRING (20.166110992431641 49.067356109619141, 20.165245056152344 49.0673828125, 20.164398193359375 49.067401885986328, 20.163608551025391 49.067390441894531, 20.162973403930664 49.0673713684082, 20.162387847900391 49.067340850830078)"
102682167,,residential,,,yes,"LINESTRING (20.133493423461914 49.0744743347168, 20.133501052856445 49.074546813964844)"
102682168,,residential,,,,"LINESTRING (20.139566421508789 49.074455261230469, 20.139486312866211 49.074436187744141, 20.139188766479492 49.074241638183594)"
102682170,,residential,,,,"LINESTRING (20.13348388671875 49.073944091796875, 20.133478164672852 49.07427978515625, 20.133493423461914 49.0744743347168)"
102682171,,residential,,,,"LINESTRING (20.141883850097656 49.074111938476562, 20.141725540161133 49.074203491210938, 20.141273498535156 49.074455261230469, 20.141128540039062 49.074562072753906)"
102682173,,residential,,,,"LINESTRING (20.136075973510742 49.075164794921875, 20.136222839355469 49.074897766113281, 20.136636734008789 49.074478149414062, 20.136878967285156 49.074192047119141, 20.13702392578125 49.074100494384766, 20.137178421020508 49.074100494384766, 20.137565612792969 49.074188232421875, 20.138092041015625 49.074275970458984, 20.1385498046875 49.074344635009766, 20.139030456542969 49.074462890625)"
102682174,,residential,,,,"LINESTRING (20.141725540161133 49.074203491210938, 20.141672134399414 49.074188232421875)"
102682176,,secondary,,,,"LINESTRING (20.142280578613281 49.083766937255859, 20.142107009887695 49.085502624511719, 20.141990661621094 49.086635589599609, 20.141862869262695 49.087802886962891)"
102682177,,residential,,,,"LINESTRING (20.141576766967773 49.074176788330078, 20.1407527923584 49.074131011962891, 20.14067268371582 49.074123382568359, 20.140466690063477 49.074069976806641, 20.140340805053711 49.074028015136719, 20.140230178833008 49.074031829833984, 20.139955520629883 49.074073791503906, 20.139720916748047 49.074138641357422, 20.139530181884766 49.074176788330078, 20.139278411865234 49.074165344238281, 20.1390323638916 49.074184417724609)"
102682179,,residential,,,,"LINESTRING (20.137191772460938 49.074043273925781, 20.137178421020508 49.074100494384766)"
102682181,,residential,,,,"LINESTRING (20.14067268371582 49.074123382568359, 20.140651702880859 49.074150085449219)"
102682182,,residential,,,,"LINESTRING (20.139505386352539 49.075229644775391, 20.139537811279297 49.075145721435547, 20.139616012573242 49.074920654296875, 20.139804840087891 49.074485778808594)"
102682183,,residential,,,yes,"LINESTRING (20.139650344848633 49.0744743347168, 20.139566421508789 49.074455261230469)"
102682185,,residential,,,,"LINESTRING (20.142824172973633 49.073810577392578, 20.142658233642578 49.0738639831543, 20.142360687255859 49.07391357421875, 20.142200469970703 49.073955535888672, 20.141975402832031 49.074039459228516)"
102682189,,residential,,,yes,"LINESTRING (20.141975402832031 49.074039459228516, 20.141883850097656 49.074111938476562)"
102682190,,secondary,,,yes,"LINESTRING (20.142290115356445 49.083610534667969, 20.142280578613281 49.083766937255859)"
102682192,,residential,,,yes,"LINESTRING (20.141672134399414 49.074188232421875, 20.141576766967773 49.074176788330078)"
102682193,,residential,,,yes,"LINESTRING (20.137195587158203 49.073993682861328, 20.137191772460938 49.074043273925781)"
102682194,,track,,,,"LINESTRING (20.141719818115234 49.075424194335938, 20.141330718994141 49.075416564941406, 20.140947341918945 49.075363159179688, 20.140684127807617 49.075332641601562, 20.140464782714844 49.075332641601562, 20.140138626098633 49.075397491455078, 20.13987922668457 49.075531005859375, 20.139558792114258 49.075748443603516, 20.139364242553711 49.0758171081543, 20.139270782470703 49.075820922851562)"
102682195,,residential,,,yes,"LINESTRING (20.139436721801758 49.075252532958984, 20.139505386352539 49.075229644775391)"
102682197,,residential,,,,"LINESTRING (20.142868041992188 49.073860168457031, 20.143547058105469 49.073917388916016, 20.144330978393555 49.073978424072266, 20.144742965698242 49.073974609375, 20.145376205444336 49.073951721191406, 20.145957946777344 49.07391357421875, 20.146533966064453 49.073848724365234, 20.147342681884766 49.073734283447266, 20.147434234619141 49.0737190246582, 20.147972106933594 49.073635101318359)"
102682198,,residential,,,,"LINESTRING (20.139142990112305 49.074462890625, 20.139486312866211 49.074436187744141)"
102682199,,secondary,,,,"LINESTRING (20.143032073974609 49.074058532714844, 20.143100738525391 49.074222564697266, 20.143144607543945 49.0743522644043, 20.143190383911133 49.074481964111328, 20.143215179443359 49.074604034423828, 20.143226623535156 49.074710845947266, 20.143238067626953 49.074901580810547, 20.143230438232422 49.0750732421875, 20.143215179443359 49.075374603271484, 20.143136978149414 49.076198577880859)"
102682201,,track,,,,"LINESTRING (20.139186859130859 49.075824737548828, 20.138999938964844 49.0758056640625, 20.13848876953125 49.075626373291016)"
102682202,,residential,,,,"LINESTRING (20.139118194580078 49.074203491210938, 20.1390323638916 49.074184417724609, 20.138694763183594 49.074089050292969, 20.13810920715332 49.073932647705078, 20.137203216552734 49.073947906494141)"
102682204,,residential,,,,"LINESTRING (20.140613555908203 49.074192047119141, 20.140552520751953 49.074260711669922, 20.140520095825195 49.074508666992188)"
102682205,,residential,,,yes,"LINESTRING (20.139030456542969 49.074462890625, 20.139142990112305 49.074462890625)"
102682206,,residential,,,,"LINESTRING (20.141761779785156 49.075778961181641, 20.141719818115234 49.075424194335938, 20.141618728637695 49.074924468994141, 20.141534805297852 49.074756622314453, 20.141391754150391 49.074630737304688, 20.141128540039062 49.074562072753906, 20.140520095825195 49.074508666992188, 20.139804840087891 49.074485778808594, 20.139650344848633 49.0744743347168)"
102682207,,secondary,,,yes,"LINESTRING (20.142951965332031 49.073951721191406, 20.143032073974609 49.074058532714844)"
102682208,,track,,,yes,"LINESTRING (20.139270782470703 49.075820922851562, 20.139186859130859 49.075824737548828)"
102682209,,residential,,,yes,"LINESTRING (20.139188766479492 49.074241638183594, 20.139118194580078 49.074203491210938)"
102682210,,residential,,,yes,"LINESTRING (20.140651702880859 49.074150085449219, 20.140613555908203 49.074192047119141)"
102682211,,residential,,,,"LINESTRING (20.13848876953125 49.075626373291016, 20.138742446899414 49.0755729675293, 20.139272689819336 49.07537841796875, 20.139436721801758 49.075252532958984)"
102682212,,residential,,,,"LINESTRING (20.140565872192383 49.071971893310547, 20.140243530273438 49.072109222412109, 20.139503479003906 49.072532653808594, 20.139003753662109 49.072795867919922, 20.138126373291016 49.073238372802734, 20.137615203857422 49.073432922363281, 20.137378692626953 49.073528289794922, 20.13728141784668 49.073699951171875, 20.137203216552734 49.073947906494141, 20.137195587158203 49.073993682861328)"
102682214,,residential,,,,"LINESTRING (20.133501052856445 49.074546813964844, 20.133501052856445 49.074588775634766)"
102682229,,residential,,,,"LINESTRING (20.142200469970703 49.073955535888672, 20.142072677612305 49.073799133300781, 20.141887664794922 49.073688507080078, 20.141548156738281 49.073570251464844, 20.141019821166992 49.073432922363281, 20.140291213989258 49.073341369628906, 20.139486312866211 49.073314666748047, 20.138999938964844 49.073348999023438, 20.138637542724609 49.073356628417969, 20.138261795043945 49.073314666748047, 20.138126373291016 49.073238372802734)"
102682231,,residential,,,,"LINESTRING (20.137203216552734 49.073947906494141, 20.136058807373047 49.073955535888672, 20.134586334228516 49.073970794677734, 20.13348388671875 49.073944091796875, 20.131967544555664 49.073879241943359, 20.131599426269531 49.073902130126953, 20.131298065185547 49.073921203613281)"
102682232,,residential,,,,"LINESTRING (20.143136978149414 49.076198577880859, 20.145374298095703 49.0762939453125)"
103761472,,service,,,,"LINESTRING (20.185388565063477 49.123260498046875, 20.185352325439453 49.123359680175781, 20.185176849365234 49.12359619140625, 20.185611724853516 49.123760223388672)"
103761473,,tertiary,,,yes,"LINESTRING (20.286588668823242 49.089168548583984, 20.286586761474609 49.08929443359375)"
103761474,,tertiary,,,,"LINESTRING (20.284561157226562 49.092205047607422, 20.284748077392578 49.092380523681641, 20.286153793334961 49.092788696289062, 20.286657333374023 49.0929069519043, 20.287700653076172 49.093173980712891, 20.288415908813477 49.093307495117188, 20.289163589477539 49.093421936035156, 20.289321899414062 49.093441009521484, 20.292575836181641 49.094692230224609, 20.292901992797852 49.094818115234375, 20.293180465698242 49.095008850097656, 20.294132232666016 49.095512390136719, 20.296592712402344 49.096832275390625, 20.296789169311523 49.096920013427734, 20.297170639038086 49.097255706787109, 20.297525405883789 49.097610473632812, 20.297693252563477 49.0976676940918, 20.299869537353516 49.098243713378906, 20.305845260620117 49.099788665771484, 20.306060791015625 49.099845886230469)"
103761476,,path,,,,"LINESTRING (20.278341293334961 49.091758728027344, 20.278972625732422 49.092510223388672, 20.279806137084961 49.093292236328125, 20.280044555664062 49.09356689453125, 20.280637741088867 49.094032287597656)"
103761477,,service,,,,"LINESTRING (20.1843204498291 49.122871398925781, 20.184396743774414 49.122856140136719, 20.184413909912109 49.1229133605957)"
103761478,Tatranská,tertiary,,,,"LINESTRING (20.286586761474609 49.08929443359375, 20.286563873291016 49.0896110534668, 20.286411285400391 49.090045928955078, 20.286155700683594 49.090660095214844, 20.285974502563477 49.091030120849609, 20.28590202331543 49.091167449951172, 20.285736083984375 49.091316223144531, 20.285175323486328 49.091751098632812, 20.284561157226562 49.092205047607422, 20.284322738647461 49.092361450195312, 20.284172058105469 49.092460632324219, 20.283906936645508 49.092666625976562, 20.283254623413086 49.093307495117188, 20.282838821411133 49.093723297119141, 20.282501220703125 49.094051361083984, 20.2822208404541 49.094337463378906, 20.281883239746094 49.094741821289062, 20.281715393066406 49.094955444335938, 20.281486511230469 49.095237731933594, 20.281225204467773 49.095558166503906, 20.281026840209961 49.095798492431641, 20.280971527099609 49.095855712890625, 20.280706405639648 49.096118927001953, 20.280366897583008 49.096401214599609, 20.280118942260742 49.096588134765625, 20.278987884521484 49.097515106201172, 20.278600692749023 49.097854614257812, 20.278432846069336 49.098094940185547, 20.278373718261719 49.098331451416016, 20.278175354003906 49.0994987487793, 20.27815055847168 49.09967041015625, 20.277917861938477 49.101261138916016, 20.277734756469727 49.101783752441406, 20.277385711669922 49.102741241455078, 20.276824951171875 49.104183197021484)"
103761479,,footway,,,,"LINESTRING (20.281715393066406 49.094955444335938, 20.282007217407227 49.095130920410156, 20.282394409179688 49.095378875732422, 20.282688140869141 49.095577239990234)"
103761480,Kapitána Morávku,residential,,,,"LINESTRING (20.278987884521484 49.097515106201172, 20.279010772705078 49.097206115722656, 20.279125213623047 49.096725463867188, 20.279178619384766 49.096485137939453, 20.279027938842773 49.096286773681641)"
103761481,,service,,,,"LINESTRING (20.167152404785156 49.118232727050781, 20.167007446289062 49.118450164794922, 20.166818618774414 49.118743896484375, 20.166681289672852 49.118965148925781, 20.1666316986084 49.119171142578125, 20.1666316986084 49.119266510009766, 20.166704177856445 49.119358062744141, 20.166757583618164 49.119441986083984, 20.166889190673828 49.1195068359375)"
103761482,,residential,,,yes,"LINESTRING (20.280414581298828 49.091209411621094, 20.28032112121582 49.091106414794922)"
103761483,,service,,,,"LINESTRING (20.184719085693359 49.123466491699219, 20.184774398803711 49.123371124267578, 20.184841156005859 49.123287200927734, 20.184841156005859 49.123165130615234, 20.184690475463867 49.123027801513672, 20.184413909912109 49.1229133605957, 20.184350967407227 49.122928619384766, 20.1843204498291 49.122871398925781, 20.183816909790039 49.122749328613281, 20.183731079101562 49.1226692199707)"
103761484,,residential,,,,"LINESTRING (20.28032112121582 49.091106414794922, 20.279682159423828 49.090293884277344, 20.279468536376953 49.090194702148438, 20.279336929321289 49.090190887451172, 20.279134750366211 49.090232849121094, 20.278411865234375 49.090713500976562, 20.27800178527832 49.090980529785156, 20.277835845947266 49.091140747070312, 20.277830123901367 49.091243743896484)"
103761485,,residential,,,,"LINESTRING (20.281185150146484 49.092243194580078, 20.28009033203125 49.092693328857422)"
103761486,Kapitána Morávku,residential,,,,"LINESTRING (20.281856536865234 49.092807769775391, 20.281648635864258 49.092739105224609, 20.281185150146484 49.092243194580078, 20.280784606933594 49.091800689697266, 20.280414581298828 49.091209411621094)"
103761487,Záhranícka,residential,,,,"LINESTRING (20.278972625732422 49.092510223388672, 20.280784606933594 49.091800689697266, 20.28288459777832 49.090972900390625)"
103761489,,path,,,yes,"LINESTRING (20.278263092041016 49.091670989990234, 20.278341293334961 49.091758728027344)"
103761490,,residential,,,,"LINESTRING (20.279178619384766 49.096485137939453, 20.279350280761719 49.096515655517578, 20.279672622680664 49.0965576171875, 20.280118942260742 49.096588134765625)"
103949026,,residential,,,,"LINESTRING (20.280920028686523 49.095634460449219, 20.280694961547852 49.095432281494141, 20.280313491821289 49.095272064208984, 20.280637741088867 49.095100402832031, 20.281108856201172 49.094505310058594, 20.281211853027344 49.094329833984375, 20.281337738037109 49.094200134277344, 20.281574249267578 49.094074249267578, 20.282838821411133 49.093723297119141, 20.282672882080078 49.093528747558594, 20.282550811767578 49.0933723449707, 20.282472610473633 49.093307495117188, 20.282234191894531 49.093208312988281)"
103949027,,residential,,,,"LINESTRING (20.280012130737305 49.095020294189453, 20.280130386352539 49.094955444335938, 20.28071403503418 49.094600677490234, 20.28108024597168 49.0943489074707)"
103949028,Kapitána Morávku,residential,,,,"LINESTRING (20.281856536865234 49.092807769775391, 20.281961441040039 49.092632293701172, 20.2822322845459 49.092399597167969, 20.282791137695312 49.092079162597656)"
103949031,,residential,,,,"LINESTRING (20.280632019042969 49.09405517578125, 20.28108024597168 49.0943489074707)"
105757846,,residential,,,,"LINESTRING (20.139863967895508 49.090629577636719, 20.139989852905273 49.090694427490234, 20.140396118164062 49.090782165527344, 20.140514373779297 49.090785980224609, 20.1409969329834 49.090717315673828, 20.14118766784668 49.090694427490234, 20.141542434692383 49.090663909912109)"
105757847,,residential,,,,"LINESTRING (20.138469696044922 49.094718933105469, 20.139078140258789 49.094955444335938, 20.139215469360352 49.095073699951172, 20.139249801635742 49.0952262878418, 20.139255523681641 49.0953254699707, 20.139255523681641 49.095722198486328, 20.139303207397461 49.095909118652344, 20.139440536499023 49.096332550048828, 20.139472961425781 49.096511840820312, 20.139408111572266 49.096923828125, 20.1392765045166 49.097244262695312, 20.139204025268555 49.097404479980469, 20.139137268066406 49.097591400146484, 20.139089584350586 49.0977897644043, 20.139070510864258 49.097919464111328, 20.1390380859375 49.098060607910156, 20.139049530029297 49.0981330871582, 20.139106750488281 49.098171234130859, 20.139175415039062 49.098190307617188, 20.139225006103516 49.098171234130859, 20.139249801635742 49.098114013671875, 20.139225006103516 49.098026275634766, 20.139175415039062 49.097946166992188, 20.139131546020508 49.097858428955078, 20.139089584350586 49.0977897644043)"
105757849,,residential,,,,"LINESTRING (20.141916275024414 49.090557098388672, 20.142202377319336 49.090263366699219, 20.142486572265625 49.090030670166016, 20.142892837524414 49.089454650878906)"
105757850,,residential,,,,"LINESTRING (20.139543533325195 49.092437744140625, 20.140220642089844 49.092555999755859, 20.140289306640625 49.092571258544922, 20.141328811645508 49.0927619934082)"
105757851,,residential,,,,"LINESTRING (20.141719818115234 49.089092254638672, 20.142177581787109 49.08917236328125, 20.142316818237305 49.089149475097656, 20.142482757568359 49.089008331298828, 20.143104553222656 49.088226318359375, 20.14320182800293 49.088218688964844, 20.143291473388672 49.088241577148438, 20.14341926574707 49.088275909423828)"
105757852,,residential,,,,"LINESTRING (20.139566421508789 49.091602325439453, 20.139347076416016 49.091594696044922, 20.138877868652344 49.091575622558594, 20.138612747192383 49.091484069824219, 20.138442993164062 49.091426849365234, 20.138301849365234 49.0914306640625, 20.138063430786133 49.091484069824219, 20.137807846069336 49.091552734375, 20.137454986572266 49.0916633605957, 20.136350631713867 49.092002868652344)"
